Wikipedia 	930: Hucbaldo, monje y ⁇  de la zona de ⁇  (artículo 840).	930: Hucbaldo, monje ha atõi ojapóva Hyãsia pegua (ary reñói 840).
Wikipedia 	El prócer de Paraguay durante la labor de Mauricio José Troche es de Curuguat.	Karai prócer Paraguái isasõramo guare Mauricio José Troche ha'e Kuruguatygua.
Wikipedia 	1966: Wallace Ford, el eunuco de ⁇ , y ⁇ .	1966: Wallace Ford, mba'eapohára Vyretáña pegua (ary reñói: 1898).
Wikipedia 	Se llama también "Altos Ybypytare", pero antes también se decía "San Lorenzo de la Cordillera de los Altos", en varias ciudades de nuestro país.	Ojehero avei "Altos Yvypytare", ymave katu oje'e péicha "San Lorenzo de la Cordillera de los Altos", kóva oĩ tavakuéra itujavéva tetã Paraguáipe.
Wikipedia 	1916: José D Elías, sindicalista y uruguayo de ⁇  (quien falleció en 2007).	1916: José D'Elía, sindicalista ha ojokuaikuaáva Uruguaigua (ary omano 2007).
Wikipedia 	1958: Aitor Amezaga, músico, arreglista y compositor.	1958: Aitor Amezaga, músico, arreglista ha purahéi apohára.
Wikipedia 	El dinero se ha desprendido de estos datos y es necesario que los grupos de presión estimulen y debiliten, es decir, que los gobiernos, por ley y por ley, decidan entonces cómo recaudar dinero.	Viru ojeikuaáicha ko'ãga tekotevẽ atyvete guasu ombohepýva ha omoneíva, upe hína tetã rekuái hembiapo, tembiapoukapy ha léi rupive, upéicha oiporavo mba'e viru oipurúta ha mba'éichapa ombohepýta.
Wikipedia 	1985: Saki Seto, productor, modélo, ídolo de la Gravure, y la personalidad de la televisión de la zona del euro.	1985: Saki Seto, mba'eapohára, modélo, Gravure idol, ha personalidad de la televisión Hapõ pegua.
Wikipedia 	1886: Rash Behari Bose, militar y activista indio (la muerte en el año 1945).	1886: Rash Behari Bose, militar ha activista indio (ñemano ary 1945).
Wikipedia 	1910: Johan Ferrier, presidente alemán (muerte en 2010).	1910: Johan Ferrier, presidente surinamés (ñemano ary 2010).
Wikipedia 	El festival no bajó a cero, pues el festival dio inicio a la escuela con la "escuela municipal de danza" que daba a los amigos la impresión de arte.	Péva festival nomboguejýiva purory, péicha festival omoheñói mbo'ehao ñepyrũ ha'éva "escuela municipal de danza" ome'ẽva pa'ũ ojapòva arte ñemoherakuã.
Wikipedia 	1918: Gueorgui Plejánov, ruso ⁇  (y ⁇ : 1856).	1918: Gueorgui Plejánov, ojokuaikuaáva ruso (ary reñói: 1856).
Wikipedia 	1984: Jorge Torales, un auténtico zapato de Paraguay.	1984: Jorge Torales, vakapipopo ha'ãhára Paraguái pegua.
Wikipedia 	1996: Enrique Álvarez Félix, de la Iglesia de ⁇  de telenovelas ( ⁇  1935).	1996: Enrique Álvarez Félix, mba'eapohára Méhiko pegua de telenovelas (ary reñói 1935).
Wikipedia 	CS: Dolores Abril, cantaora de la zona de ⁇ .	1939: Dolores Abril, cantaora Espáña peguaa.
Wikipedia 	Natalicio de María Talavera: (1839-1867) inaugura el parnaso paraguayo.	Natalicio de María Talavera: (1839-1867) omoñepyrüva pe parnaso paraguayo.
Wikipedia 	1844: Joseph Smith, fundador del mormonismo (y nació en 1805).	1844: Joseph Smith, fundador del mormonismo (ary heñói 1805).
Wikipedia 	1934: Jackie Wilson, un levita natural de ⁇ , y su hermano ⁇ .	1934: Jackie Wilson, atõihára ha opurahéiva Tetãvore Joapykuéra pegua (ary omano: 1984).
Wikipedia 	Ahora descansemos el animal, que ya lleva descansando una hora.	Ko'ágã jajoka upe kuaháda, opytu'úma va'ekue peteĩ aravo rupi.
Wikipedia 	1953: Jaime Maussan, médico e investigador televisivo de la zona.	1953: Jaime Maussan, ñemoaranduhára ha investigador televisivo Méhiko pegua.
Wikipedia 	La prisión es de 10.- Nadie debe ser retenido por su madre en un calabozo, sino en el lugar que le corresponde, si no se ajusta a los requisitos legales.	Ñemyakã'i 10.- Avave imonambimbyre ndojereraháiva'erã ka'irãime añarekohápe, katu henda peguáme, ndahéirõ umi tekovoña he'iháicha.
Wikipedia 	Por ejemplo, un viento suave y un viento impetuoso sacuden violentamente la tierra, pero no dejan de soplar.	Techapyrã: Tuichaiterei oky, yvytu oipeju kyre'ỹ, arai oñemongu'e ápe ha pépe; ha katu ore rohovérõnte roho.
Wikipedia 	Desde la década del 70 se capacita en la Universidad de la Sorbona, en París.	Oñepyrũvo década del 70 oñembokatupyry Universidad de la Sorbonna, París-pe.
Wikipedia 	Cita: Dimitri Tiomkin, director de orquesta y compositor ucranio (muerte en 1979).	1894: Dimitri Tiomkin, director de orquesta ha compositor ucraniano (ñemano ary 1979).
Wikipedia 	A lo largo de su vida, Arsenio Erico fue conocido como el Saltarín Rojo, el Rey del Gol, el Semidios, el Hombre de Goma, el Paraguayo de Oro, el Mago, el Duende Rojo y otros más.	Hekove pukukue javeve Arsenio Erico ojeherókuri heta hendáicha; péicha, oje'e chupe: el Saltarín Rojo, el Rey del Gol, el Semidios, el Hombre de Goma, el Paraguayo de Oro, el Mago, el Duende Rojo ha hetave ambue hendáicha.
Wikipedia 	1742: Nicolas Andry de Boisregard, médico ⁇  (alrededor de 1658).	1742: Nicolas Andry de Boisregard, médico Hyãsiaygua (ary reñói 1658).
Wikipedia 	La preocupación de Bulsara es que la ciudad de Bulsar sea exhibida como Valsad, una de las extinciones de Gujarat.	Herajoapy Bulsara ou táva Bulsar réragui ojeikuaaáva avei Valsad-ramo, oĩva Gujarat ñembygotyo.
Wikipedia 	También hay un canal de televisión.	Avei oĩ canal telivisiõ rehegua.
Wikipedia 	2005: Raimon Galí, historiador y escritor español.	2005: Raimon Galí, historiador y escritor español.
Wikipedia 	1091: Teodorico V, jefe de la zona del euro (artículo 1052).	1091: Teodorico V, ruvicha Olánda pegua (ary reñói 1052).
Wikipedia 	Las ciudades de Rómade y de la provincia de Fenicia, que antes habían abandonado el país, dejaron el ejemplo de Lixus Volubilis Salé Tamuda Marruéko, que luego de su llegada a la Isla Melquisedec se convirtió en el séptimo sacristán.	Umi táva Mburuvi Rróma pegua ha Mburuvi Fenísia pegua oheja va'ekue Marruékope Lixus Volubilis Salé Tamuda Marruéko heko pyahuite oguahẽ rire Islã amo sa'ary VII ipahápe, ha heta avakuéra te'ýi vereve ojerovia, upéicha oñepyrũ tetãnguéra pyahu upe Emiráto Nekor pegua techapyrãme.
Wikipedia 	San Vicente y las Granadinas instalaron su propio departamento en línea con el departamento de comunicación de San Vicente y las Granadinas sobre la Capacidad de Turismo de San Vicente y las Granadinas del Departamento de Turismo de San Vicente y las Granadinas del departamento de San Vicente y de Granadinas (ingleñeta) Villa Elisa era una ciudad de la zona de ⁇  Central, antigua colonia que había	San Vicente ha Granadinas retã rekuái henda tee ñandutíme (ingleñe'ẽme) San Vicente ha Granadinas marandukuéra Mba'ekuaarã OMS pegua San Vicente ha Granadinas rehegua Departamento de Turismo de San Vicente ha Granadinas (ingleñe'ẽme) San Vicente ha Granadinas ipoyvi San Vicente ha Granadinas (ingleñe'ẽme) Villa Elisa ha'e táva oĩva tetãvore Centralme, ha'ékuri pe colonia oike haguépe umi sueco tetã Paraguáipe ha ko'ãga rupi oiko chugui tenda iporãva ha imbaretéva táva oĩva pe Área Metropolitana ryepýpe.
Wikipedia 	Sin embargo, no pierde la sobriedad y el control estricto, como algunos dicen, va por la naturaleza.	Upéicharõ jepe, ndoje'ói chugui pe jehecharamo hapicháre ha pe ñeñangareko orekóva hekopýre, oĩvoi he'íva hese ojamemeha tekoaguyjére.
Wikipedia 	No hay montañas altas, hay un peñasco muy alto que queda al sur de nuestro país, y esto lo conoce en Cerrito.	Ndaipóri yvytykuéra ijyvatetéva, peteĩmínte oĩ ijyvatemivéva opytáva sur gotyo ko tetãvorépe, ha kóva oikuaa Cerrito-pe.
Wikipedia 	Wikimedia Commons tiene una gran colección de libros de texto.	Wikimedia Commons oguereko ta'ãnga Ambijã reheguaCommons.
Wikipedia 	sandías, incienso, mirra, incienso, mirra, perfumes, mirra, perfumes, vino, aceite de oliva, flor de harina, grano tostado, trigo, bestias, ovejas, caballos, carpas y carretas.	Oĩ sandia, merõ, avakachi, arasa; Jasykõi: Oñemono'õ mandyju ha oñekytĩ yvyrakuéra; Jasyapy: Oñembyaty avati, oñembosako'i yvy oñeñemitỹ agua; avei, oiko kure ñemongyra; Jasyrundy: Ojehapo'o mandi'o.
Wikipedia 	1986: Sam Claflin, de la tribu de Galacia.	1986: Sam Claflin, mba'eapohára Vyretáña pegua.
Wikipedia 	1932: Pascual Contursi, poeta y letrista de la Argentina, coautor de La cumparita (aproximadamente: 1888).	1932: Pascual Contursi, ñe'ẽpapára ha letrista tanguero Argentina pegua, coautor de La cumparsita (ary reñói: 1888).
Wikipedia 	El Parque Nacional de Docunday, ubicado en el 26o 03 latitud sur; en el 54o 42 de longitud oeste, con una extensión de 2.000 hectáreas, arrancado en el Bosque Protector por Decreto No 17.071 del 20 de agosto del año 1975 y con 1.000 hectáreas, se encuentra inmerso en el Salto de Docunday y luego fue bautizado en el Decreto No 16.146, 18	Ko Parque Nacional Ñacunday, pĩva pe 26º 03' latitud sur; 54º 42´ longitud oeste, tuichakue 2.000 hectáreas, oñepyrũva'ekue Bosque Protector-ramo por Decreto Nº 17.071pe 20 jasypoapy ary 1975-pe tuichakue 1.000 hectáreas, oikéma pype pe Salto Ñacunday ha upéi oñemongakuaa Decreto Nº 16.146, 18 jasyteĩ ary 1993 jave, omyendagueva'ekue oĩ ypýva, omoambueva'ekue chupe.
Wikipedia 	1968: Álvaro Ugaz Otoya, periodista de la diáspora (daño: 2009).	1968: Álvaro Ugaz Otoya, momaranduhára Perũ pegua (ary omano: 2009).
Wikipedia 	En el área de San Roque González de Santacruz, una de las zonas fue dividida por las inundaciones del Aguai.	Yvy gotyo tenda San Roque González de Santacruz, oipe'áva ojuehegui ysyry Aguai-hy-mi.
Wikipedia 	408: Arcadio, presidente de Visánsio.	408: Arcadio, mburuvicha Visánsio-pegua.
Wikipedia 	Aquéllos a los que nunca vienen hoy o mañana se convierten en personas alegres, carentes de entendimiento y de cuerpo.	Upevakuére ndo'úiva jódo térã sa'i ho'úva oiko ichugui tapicha tavy, ndaipu'akapáiva iñapytu'ũ ha hetére.
Wikipedia 	Del NBI total existen 13,6%.	NBI tembipurukuéra rehegua 13,6%.
Wikipedia 	FO: Dolores Hope, artista y filantrópa estadounidense (quien falleció: 2011).	1909: Dolores Hope, opurahéiva ha filántropa estadounidente (ary omano: 2011).
Wikipedia 	El jefe Patricio Escobar fue nombrado como ministro de Relaciones Exteriores y recibió la misión de trabajar en la construcción de una alianza para proteger el Chaco.	Karai Tendota Patricio Escobar ohenói ichupe ministro de Relaciones Exteriores ramo ha upe tembiapópe ohupyty ichupe omba'apóvo umi ñemongeta guasu ñeko'õi Chaco rehegua.
Wikipedia 	1975: Salim Iles, nadador argelino.	1975: Salim Iles, nadador argelino.
Wikipedia 	2013: Carlos Sánchez del Río, físico de la zona del euro.	2013: Carlos Sánchez del Río, físico Espáña pegua (ary reñói 1924).
Wikipedia 	También trabajó como ave, en el Cómo de Casarse con un millonario (ary 1953), The Seven Year Itch (ary 1955) y Bus Stop (ary 1956).	Omba'apo avei, avateeguaicha, ta'angamýi Cómo casarse con un millonario-pe (ary 1953), The Seven Year Itch (ary 1955) ha Bus Stop (ary 1956).
Wikipedia 	Los pobladores de Ogayquere se reunieron desde el principio y levantaron un crucifijo de madera de cerámica y lo hicieron sobre una hierba verde para la hierba.	Ogaygua ha Ogaykeregua oñembyaty voi guive ha omopu'ã peteĩ kurusu rendag̃ua ojejapóva takuáragui ha oñembo'apéva ka'avove'i ha pindo roguépe.
Wikipedia 	Ybytyrysyi Mnatiira (Día: Serra da Mantitiira) o Ybytyrysyi Amandyky Guarani, el concepto de un cerro de contención en ⁇  (Sao Paulo, Minas Gerais y Río de Janeiro).	Yvytyrysyi Mnatiqueira (Poytugañe'ẽme: Serra da Mantiqueira) térã Yvytyrysyi Amandyky avañe'ẽme, ha'ehína peteĩ yvytyrysyi ñemby-kuarahyresẽ Vrasil-pe (São Paulo, Minas Gerais ha Rio de Janeiro).
Wikipedia 	Tras la caída del candidato liberal, decidió ir a Buenos Aires y trabajar en el diario La Razón.	Ho'ávo tendota Liberal-gua oho oiko Buenos Aires-pe ha oike omba'apo diario La Razón-pe.
Wikipedia 	1772: Ram Mohan Roy, décimo indio (muerte en el año 1833).	1772: Ram Mohan Roy, filósofo indio (ñemano ary 1833).
Wikipedia 	Cuando los mediadores del Paraguay estaban a punto de dar su último suspiro, llegaron unas 100 mujeres paraguayas valientes y guerrilleras en compañía de brasileños que llevaban armas, piedras, palos y cobijas.	Paraguay ñorairõharakuéra omanombapota rupi, iñapysẽkuri 100 kuña Paraguay ipy'aguasúva ha avei oñorairõ brasileño-kuéra ndive oipuruhápe mboka, ita, yvyra ha liméta jekakue.
Wikipedia 	En un momento en el que su población alcanza los 580 367 km2 y en el que viven 39 millones de personas, Kéña ⁇  tiene un alto costo.	Ijyvy apekue ohupyty amo 580 367 km² ha ipype oiko amo 39 sua tekovekuéra, Kéña retãygua ijypykue opaichagua.
Wikipedia 	«Mauritania - ⁇  - Libro Mundial de Hechos	«Mauritania - Geografía - Libro Mundial de Hechos».
Wikipedia 	Con ese espíritu en el año 2002 declinó el nombramiento como presidente de la Junta Episcopal Argentina, pero tres años después lo eligieron formalmente y posteriormente fue electo por tres años más en el año ⁇ 	Upe temiandúre ary 2002-pe ombotovékuri iñemohenda Argentina Pa'iruvicha Atyguasu motenondehárarõ, jepémo upéicha mbohapy ary rire ojeporavókuri chupe upevarã ha upe rire ojeporavojeýkuri mbohapy aryve, ary 2008-pe.
Wikipedia 	El predio cuenta con cuatro hospitales indígenas (privados) y la XVII Región Sanitaria, del Ministerio de Salul Pública y Bienestar Social bajo su custodia, en Mariscal Estigarribia y la Gobernación protege el Centro Materno Infantil, en la villa Choferes del Chaco.	Ko tetãvore oguereko irundy tasyo ava mba'éva (privado) ha avei XVII Región Sanitaria, Ministerio de Sañul Pública y Bienestar Social oñangarekóva, Mariscal Estigarribia-pe ha Gobernación oñangareko Centro Materno Infantil rehe, villa Choferes del Chaco-pe oĩva.
Wikipedia 	El artista había inventado varias obras de música en 1907, también había creado mucha sinfonía y un magnífico espectáculo a su alcance. http://www.buscabiografias.com/bios/biografia/verDetalle ⁇ 181/Ludwig ⁇ 20Van ⁇ 20Beethoven http://www.biografiasvidas.com/biografia/b/be	Ku karai ojapova'ekue heta purahéi mba'epu kuãytasã hag̃ua, ojapova'ekue avei heta sinfonía ha mba'epu porã ijysaja oikoéva. http://www.buscabiografias.com/bios/biografia/verDetalle/2181/Ludwig%20Van%20Beethoven http://www.biografiasyvidas.com/biografia/b/beethoven.htm Wikimedia Commons oguereko ta'ãnga Lúdvig van Vetóven reheguaCommons.
Wikipedia 	Los Voluntarios -antes y durante ese tiempo- tenían el poder para hacer sutiles en el Cerro León donde instalaron un gran cuartel general para sus tropas y un puesto de fuerza contra las tropas paraguayas que avanzaban hacia el norte de Chako o se encontraban a orillas del río Paraguay.	Volikuéra -upe ñorairõ mboyve ha aja- oguerekosékuri ipoguýpe Cerro León upépe omopyenda hag̃ua iguarinikuéra róga guasu ha peteĩ pepo'atãrupa ikatutahágui ombohovake Paraguay guarinikuérape oguatáva Chako yvate gotyo térã oñemongu'éva y Paraguay rembe'y guive.
Wikipedia 	En Wikita hay un libro acerca de Jaguane.	Wikiespecies oguereko peteĩ kuatiarogue Jaguane rehegua.
Wikipedia 	60 (1): pp. 81–84. http://www.iczn.org/BZNMar2003opinions.htm#opinion2027. Wikimedia Commons tiene una imagen de Kavaju.	60 (1):  pp. 81–84. http://www.iczn.org/BZNMar2003opinions.htm#opinion2027.  Wikimedia Commons oguereko ta'ãnga Kavaju reheguaCommons.
Wikipedia 	La comunidad boliviana- Santa Cruz para el Día Mundial de la Fiesta o la Fiesta de la Navidad será cambiada de lugar en una hora, se realizará en una hora de almuerzo, el primer día de la semana y reiniciará el invierno.	Comunidad Boliviana- Santa cruz para el Mundo Arahaku Ára térã Arahaku Aravo ha'e aravo ñemoambue peteĩ tendápe, omotenonde hína peteĩ aravo ñónte, arapoty ñepyrũme ha omomoĩjey ro'yñepyrũme.
Wikipedia 	En el año 1850 retornó a Inglaterra y allí dirigió (sin cobrarle) un pequeño hospital donde se atendió sólo a la mujer.	Ary 1850-pe ojevýkuri Inglaterra retãme ha upépe oisãmbyhýkuri (oñehepyme'ẽ'ỹre chupe) peteĩ tasyo michĩva ha oñangarekóva kuña añónte rehe.
Wikipedia 	El predio se detuvo en Loma Grande y en el Norte desde ⁇  hasta Arroyos y Esteros, donde el río Piribebuy se abatió sobre Loma Grande.	Ko tetãvore'i oguahẽ Loma Grande: Norte gotyo tetãvore'i Arroyos y Esteros peve, upe río Piribebuy omboja'u Loma Grande ndive.
Wikipedia 	La obra de Antoni Gaudí fue la más exitosa y exitosa de todas, y con el éxito que obtuvo fue la de Katalúña.	Antoni Gaudí rembiapokue tuichvéva ha porãvéva, ha karai omohechaukavéva Katalúña jogapokuaa ãgagua.
Wikipedia 	y habla de cosas que no son apropiadas para la enseñanza saludable.	Oñeñe'ẽ avei ingleñe'ẽ, chinañe'ẽ ha tamil.
Wikipedia 	FO: Eleonora Duse, actriz italiana.	1924: Eleonora Duse, actriz italiana.
Wikipedia 	1953: Paul Sansón, guitarrista de la zona de ⁇ , de la banda de Sansón (muerto: 2002).	1953: Paul Samson, guitarrista Vyretáña pegua, de la banda Samson (ary omano: 2002).
Wikipedia 	El catalán quedó en tierra en Paraguay, tras ser invadido por el capitán español Ruy Díaz de Melgarejo el 14 de mayo de 1570, tras la destitución de Guaira, que ahora quedó tendido en Brasil.	Ko tavusu opytáva yvývo Paraguáipe, ha ofundava'ekue capitán España-ygua Ruy Díaz de Melgarejo 14 jasypo 1570-pe, Guaira tujápe, ko'ág̃a opytáva Brasil yvýpe.
Wikipedia 	Los enfermos, en cambio, los que sufren de dolores de parto, son los que sufren de dolores de parto y los que sufren de dolores de parto.	Akói hasýva ipy'ajere, ogue'ẽ, ha tye chivivi hapykuéri, katuete ikangy ha omba'apo'ive ñande hígado ha pitikiri'i kuéra.
Wikipedia 	A pesar de que el sitio tiene buenos terrenos para el ganado o para el ganado, en este sitio se necesitan abundantes insumos para mejorar (la infraestructura y el desarrollo humano).	Tetãvore ha'éramo jepe tenda oguerekóva yvy porã kokuépe guarã térã mymbakuéra rehe guarã, ko'ápe oñeikotevẽ heta tembipuru avakuéra oikoporãve haguã (infraestructura y desarrollo humano).
Wikipedia 	Se rieron de él.	Ohoreíngo heseve hikuái.
Wikipedia 	«Papúa Nueva Guinea-Bissau - Libro Mundial de Hechos ⁇ 	«Papúa Nueva Guinea - Geografía - Libro Mundial de Hechos».
Wikipedia 	En este momento se debe continuar agregando el discurso: para ello.	Kóicha jave oñembojoapyva'erã ñe'ẽpehẽtai upeigua: rã.
Wikipedia 	El nombre del Tinfunqué es el Sitio Ramsar y, por lo tanto, está en la lista general de los humedales de importación internacional.	Ko Tinfunqué oñembohéra Sitio Ramsar ha, upévare, oĩ pe lista guasu humedales de importancia internacional reheguápe.
Wikipedia 	1994: Lucebert, pintor y autor del ⁇  neerlandés (ary Independent).	1994: Lucebert, pintor ha ñe'ẽpapára neerlandés (ary reñói 1924).
Wikipedia 	1858: John Snow, médico de la zona de ⁇  (uno de 1813).	1858: John Snow, médico Vyretáña pegua (ary reñói 1813).
Wikipedia 	Esta ciudad tiene una población de  ⁇ 27 ava (2010 años).	Ko távape oiko 1.627 ava (2010 ary).
Wikipedia 	Entonces él fue el majestuoso de nuestro país.	Upéramo guare ha'eva'ekue karai mba'ekuaápe ijojaha'ỹva tetãmegua.
Wikipedia 	1920: Franklin Schaffner, el cineasta de la diáspora ⁇  (que murió: 1989).	1920: Franklin Schaffner, cineasta Tetãvore Joapykuéra pegua (ary omano: 1989).
Wikipedia 	Ánga (palabra: alma), de gran confianza y de espíritu en el pueblo, es decir, el organismo que creó el universo sin vida. "Soul." Enciclopedia Británica.	Ánga (karaiñe'ẽ: alma), heta jeroviakatúpe ha apytu'ũ rehegua tavarandúpe, he'iseha upe mba'e omoingovéva hete'ỹva opa tekove orekóva. "soul."Encyclopædia Britannica.
Wikipedia 	1968 O Guaraní.	1968 O Guaraní.
Wikipedia 	En el año 2001, la Unesco llevó a cabo consultas entre los distintos países y organismos con el objetivo de encontrar soluciones subjetivas a las cuestiones de la vida privada, y una Asamblea Constituyente se llevó a cabo en el año 2003 y se cuidó del medio ambiente.	Ary 2001-pe, Unesco ojapo porandu aty tetãnguérape ha atyvete ambuévape oheka hag̃ua mba'e he'ise tekopy tee ojehechakuaa'ỹva ñe'ẽ peteĩme, ha peteĩ Amandaje Jekupytyha ojejapo ary 2003-pe oñeñangareko hag̃ua tekopy teépe.
Wikipedia 	1981: Ella Chen, cantando taiwanesa, de la banda SHE.	1981: Ella Chen, opurahéiva taiwanesa, de la banda SHE.
Wikipedia 	En el año 1933 murió Gaudí, un alto oficial del ejército romano.	Ary 1926-pe omano Gaudí ha peteĩ óga yvate mante ojejogapo.
Wikipedia 	Le contó a su madre y ella le dió la vida y pese a que nunca había tenido una bicicleta, Lorenzo empezó a apachurrarse aquí y allá y como éste mi hermano llegó hasta un supermercado que está en Colón y Quinta, llamado El Pedal, donde Lorenzo habló con su dueño y le contó su sueño.	Omombe'úkuri isýpe ha ha'e omoneíkuri chupe ha jepémo araka'eve ndoguerekojepéikuri peteĩ vísi, Lorenzo oñepyrũkuri ojeporeka ápe ha pépe ha peichahápe og̃uahẽkuri peteĩ ñemuha oĩva Colón ha Quinta-pe, hérava El Pedal, Lorenzo oñe'ẽhaguépe ijára ndive ha omombe'úkuri chupe ikerayvoty.
Wikipedia 	1973: Jean Gebser, escritor, lingüista y traductor de origen alemán (archivo alemán).	1973: Jean Gebser, haihára, lingüista ha ñe'ẽpapára de origen alemán (ary reñói 1905).
Wikipedia 	Así se hizo en ⁇  y en ⁇ .	Ñembosaraipavẽ peteĩ ojejapókuri Ñembyamérikape ha Pindoráma retãme.
Wikipedia 	1983: Normas Shearer, de la tribu de Galacia.	1983: Norma Shearer, mba'eapohára Kanatã pegua.
Wikipedia 	Carlos Lyra, abogado brasileño.	1939: Carlos Lyra, atõihára brasileño.
Wikipedia 	Tenía un hijo pequeño llamado Paraguarí.	Oguereko hembe`y Para yvy mbytepe rehe.
Wikipedia 	1992: Salvador Nava, médico y médico de la zona de ⁇  (n.1914).	1992: Salvador Nava, médico ha jokuaikuaahára Méhiko pegua (n.1914).
Wikipedia 	1973: Adam García, cantero, cantante y bailarín de la Auteralia.	1973: Adam Garcia, mba'eapohára, opurahéiva ha bailarín Auterália pegua.
Wikipedia 	1864: Hong Xiuhuan, el rebelde chino (alrededor de 1812).	1864: Hong Xiuquan, rebelde chino (ary reñói 1812).
Wikipedia 	Pero cuando ponemos freno en la boca a los que nos acusan, tenemos un altar más grande que el otro.	Jaipuru ñamondoho jave peteĩ ñe'ẽapesã, uperire ñamoñepyrũ hagua ambue ñe'ẽjoaju ipyahú-va.
Wikipedia 	1957: James Whale, la rama de la industria del cineasta Climática (que data: 1896).	1957: James Whale, cineasta Vyretáña pegua (ary reñói: 1896).
Wikipedia 	En el microcentro también hay personas trabajando.	Pirajekutúpe oĩ avei tapicha tendagua omba'apóva.
Wikipedia 	Nació el 6 de mayo de 1859 en la ciudad de Caraguatay, en Cordillera del departamento.	Heñói 6 jasypo 1859-pe táva Karaguataýpe, Cordillera departamento-pe.
Wikipedia 	1981: Guillermo Martínez López, médico de la zona.	1981: Guillermo Martínez López, jetepysohára Kúva pegua.
Wikipedia 	Dícula: Per Lillo-Stenberg, de la tribu de Noruéga, que murió en 2014;	1928: Per Lillo-Stenberg, mba'eapohára Noruéga pegua (ary omano 2014).
Wikipedia 	La nación ⁇  salió de la tierra en el año 1976, después de que los reyes Marruéko y Mauritaña conquistaran la tierra de Ananías, Sará.	Epáña retã osẽ rire ko yvýgui ary 1976-pe, tetã Marruéko ha Mauritáña oñembojára Kuarahyreike Saára rehe.
Wikipedia 	El idioma de Jimbúti (Dic su propia lengua) es el de la BBC News - Perfil de país: Yibuti (Diccionario) Hollandañe’i (Voces: neerlandés) y es el idioma hermanohablante de Holanda y Surinam.	Jimbúti retã (Hyãsiañe'ẽme) BBC News - Perfil de país: Djibouti (Ingleñe'ẽme) Holandañe'ẽ (karaiñe'ẽ: neerlandés) ha'e ku ñe'ẽ hermániko ha indoeuropapegua oñe'ẽva Holanda ha Surinam.
Wikipedia 	1908: Federico Chueca, el campesino que vive en la ciudad de ⁇  (fuente de 1846).	1908: Federico Chueca, atõi ojapóva Epáña pegua (ary reñói 1846).
Wikipedia 	Desde entonces, la tierra está bajo el dominio de Marrué, el cual reina sobre todas las naciones de la ONU, y reina en la región de los Samaritanos.	Upe guive, ko yvy pehẽngue oĩ Marruéko ipoguýpe ko'ãga meve, hákatu opa umi tetã ambuéva ONU pegua nomoañetéi upéicha ha Tavakuairetã Saáragua Árave Jekopytyjojáva ojerure Kuarahyreike Saára ojapo hag̃ua hetã.
Wikipedia 	1914: Luis Sánchez Asta, ⁇ , catedrático y académico de la zona del euro (la muerte en 1997).	1914: Luis Sánchez Agesta, jurista, catedrático ha académico Epáña pegua (ñemano ary 1997).
Wikipedia 	A comienzos de 2009, en el siglo VI, varias ciudades se debaten en la plaza de Tikal, por parte de pobladores del área.	Oñepyrũrõguare siglo VI heta tavakuéra ombohovake Tikal pu'akápe, umi oikóva yvy gotyo.
Wikipedia 	Todos los metros bajo el mismo nivel de retaguardia que tiene el guino de la educación se van a internar en kias de retaguardia y otros espacios con lo que le va a afectar.	Opaete metei ñavo tëtaiguaete reta yoguirekovae guinoi tekomboe aguiye vaerä kia reta omokañi jeko jare ambuevae tekoi omomoekä chupe reta.
Wikipedia 	La tierra que embebe la lluvia que a menudo viene sobre ella, y que luego produce vegetación apropiada para aquellos para quienes también se cultiva, recibe en cambio una bendición de Dios.	Yvy retã mba'e ha'e Tuicha Vyetaña ypa'ũ, yvatekuarahyreike Ilanda ypa'ũ ha heta michĩ ypa'ũnguéra.
Wikipedia 	El cabello largo es para el cuerpo una corona incorruptible, y la cabeza blanca para el cuerpo.	Hova ipire hague'ỹva ha morotĩva.
Wikipedia 	1975: Claudio Parker, de la provincia de ⁇ .	1975: Anthony Parker, baloncestista Tetãvore Joapykuéra pegua.
Wikipedia 	1937: Gaston Doumergue, estadista de la zona de ⁇  (alrededor de 1863).	1937: Gaston Doumergue, estadista Hyãsia pegua (ary reñói 1863).
Wikipedia 	De los Mbyanos ya van pasando los años, y de los suyos, que tampoco podrán ser reubicados entre nosotros, y después de muchos otros, estarán a la vista.	Ko'ã Mbya kuéragui opavéma ohóvo hekoha ha upéagui avei ha'ekuéra ndoikatúi oñemohenda ñande apytépe ha upéi hetave mba'éko oĩne jahecha va'erã hesekuéra ha ñande kuérare avei.
Wikipedia 	El kavure paraguayo es también la celebración del Día de San Juan, para hacer frente a las necesidades de las escobas, las hojuelas, las leches y los chicharrones con leche engordada.	Kavure tembi'u Paraguái ojejapóva ha ojegueromandu'ávo San Juan árape avei, jajapo haguã ñeikotevẽ hína typyraty, ñandy, juky, kamby ha chicharõ vaka kyragui jejapopyre.
Wikipedia 	Los tesalonicenses se reunieron en Misión, en Ypacaraí y en Atyra.	Temiporã vakapígui ojejapo tetãvore Misiónepe, táva Ypakarai, ha táva Atyra.
Wikipedia 	Del trabajo duro del día 27,1%.	Tembipuru tasyo pegua rehegua 27,1%.
Wikipedia 	El miércoles 12 de junio de 2010.	Ojehechákuri árape: 12 de junio de 2010.
